video_id,mocap_id,shape_cost,n_common_samples,common_fraction,video_motion_scale,mocap_motion_scale,video_max_step_ratio,row_margin,column_margin,assignment_margin,accepted,rejection_reason,global_linear_rmse,global_linear_max_error,global_similarity_rmse,global_similarity_max_error,global_affine_rmse,global_affine_max_error
2309.0,46154,0.19760708510875702,201,0.67,0.1616903841495514,594.5827222374245,25.538637161254883,0.45012927055358887,0.2093447595834732,0.2093447595834732,True,,0.075176476305849,0.12745142478944838,0.014099737516934815,0.0961052160174329,0.013236490604041834,0.0879587528348076
3857.0,2257,0.1391347199678421,288,0.96,0.2744089663028717,0.13131816879595243,136.07408142089844,0.3176858425140381,0.018119707703590393,0.018119707703590393,False,assignment is ambiguous,,,,,,
5666.0,10802,0.3161414861679077,195,0.65,0.1849307268857956,572.490860491863,5.916378498077393,0.0897531807422638,-0.015576988458633423,-0.015576988458633423,False,assignment is ambiguous,,,,,,
385.0,1046,0.33178120851516724,181,0.6033333333333334,0.03751525282859802,260.66379135261957,33.22467041015625,0.33343780040740967,0.013767808675765991,0.013767808675765991,False,assignment is ambiguous,,,,,,
1767.0,4233,0.3775884509086609,213,0.71,0.1979978084564209,771.5290620783999,5.84716272354126,-0.0770239531993866,0.024523943662643433,-0.0770239531993866,False,assignment is ambiguous,,,,,,
3084.0,13931,0.3791636824607849,220,0.7333333333333333,0.1933973729610443,929.6261127523213,11.137585639953613,0.19535762071609497,0.005997061729431152,0.005997061729431152,False,assignment is ambiguous,,,,,,
1486.0,530,0.3951205611228943,234,0.78,0.5684484839439392,27.770387072192893,8.386892318725586,0.20287293195724487,0.02610158920288086,0.02610158920288086,False,assignment is ambiguous,,,,,,
1688.0,432,0.41471347212791443,187,0.6233333333333333,0.33112385869026184,246.7254354620708,7.450771808624268,0.32632341980934143,0.012286663055419922,0.012286663055419922,False,assignment is ambiguous,,,,,,
4997.0,1537,0.4358115494251251,296,0.9866666666666667,0.2213945835828781,0.25103453094415595,33.02356719970703,-0.2785571217536926,0.018302351236343384,-0.2785571217536926,False,assignment is ambiguous,,,,,,
1385.0,2165,0.5449182391166687,292,0.9733333333333334,0.31687402725219727,0.08496384754891678,29.551794052124023,0.025552749633789062,0.00726628303527832,0.00726628303527832,False,assignment is ambiguous,,,,,,
7334.0,220,0.6534025073051453,293,0.9766666666666667,0.3028697073459625,0.11341249877936845,116.99870300292969,0.23644667863845825,0.011945664882659912,0.011945664882659912,False,assignment is ambiguous,,,,,,
,47,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,85,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,232,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,991,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,1164,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,2243,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,2728,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,10992,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,16375,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,21884,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,27620,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,62998,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,66662,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
,67168,,0,0.0,,,,,,,False,no video assignment below unmatched cost,,,,,,
